cliente_id,nombre,email,telefono,documento,fecha_nacimiento,edad,sexo,ciudad,barrio,direccion,latitud,longitud,estrato,ocupacion,ingresos_mensuales,dispositivo,ip,pais_residencia,canal_adquisicion,origen_dato,fecha_autorizacion,consentimiento_marketing,visitas_web,productos_vistos,categoria_top,compras_6m,monto_compras,fecha_ultima_compra,compras_farmacia_6m,entrega_asistida,busquedas_maternidad,score_riesgo_interno,segmento,churn
DM-00865,Luis Castro,luis.castro806@mail.co,3361052437,SYN-92480821,1992-12-31,33,M,Barranquilla,Simon Bolivar,Carrera 7 # 58-18,10.97607,-74.80194,2.0,Pensionado/a,2460000.0,Android,135.169.205.166,Colombia,email_marketing,lista_comprada_tercero,,0,12,36,moda,2,418000.0,2026-08-29,0,0,0,26,fiel,0
DM-00714,Paula Beltran,paula.beltran226@correo.com,3552777695,SYN-95884611,1974-01-01,52,F,Cartagena,Manga,Carrera 53 # 50-88,10.33459,-75.45909,1.0,Comerciante,1710000.0,iOS,192.175.234.41,Colombia,publicidad_pagada,registro_cuenta,2024-02-23,1,9,28,supermercado,4,778000.0,2026-05-11,1,0,0,48,estable,0
DM-00572,Alvaro Riveros,alvaro.riveros457@mail.co,3693537285,SYN-35266492,2000-12-31,25,F,Barranquilla,El Prado,Diagonal 42 # 18-58,10.95,-74.77236,3.0,Comerciante,2950000.0,Android,57.79.150.169,Alemania,publicidad_pagada,programa_fidelizacion,2025-05-14,1,12,19,tecnologia,2,435000.0,2026-07-26,0,0,0,41,estable,0
DM-00737,Julian Rojas,julian.rojas77@mail.co,3760006964,SYN-91503090,1988-12-31,37,F,Bucaramanga,Provenza,Carrera 165 # 3-96,7.10314,-73.14503,5.0,Pensionado/a,11140000.0,Android,202.239.184.80,Mexico,marketplace,facturacion,2022-10-16,0,15,28,moda,5,2586000.0,2026-03-30,0,0,0,34,fiel,0
DM-01236,Claudia Castro,claudia.castro866@datamail.co,399-242-8257,SYN-94447126,1968-01-01,58,M,Pereira,Alamos,Transversal 53 # 75-88,4.86433,-75.70943,,Disenador/a,3560000.0,Windows,158.145.122.23,Colombia,email_marketing,facturacion,2023-01-09,0,6,15,tecnologia,1,163000.0,2026-08-12,4,0,0,24,fiel,0
DM-01252,Nicolas Riveros,nicolas.riveros687@webmail.net,3941031685,SYN-17397135,1996-01-01,30,F,Medellin,El Poblado,Diagonal 34 # 94-35,6.26183,-75.58828,4.0,Abogado/a,3810000.0,iOS,150.153.75.158,Colombia,referido,registro_cuenta,2026-06-18,1,14,42,tecnologia,3,932000.0,2026-04-10,0,0,0,32,fiel,0
DM-00503,Luis Ospina,luis.ospina313@webmail.net,3180433342,SYN-47662569,1987-01-01,39,F,Bogota,Suba,Transversal 13 # 65-16,4.6538,-74.07308,4.0,Enfermero/a,3520000.0,iOS,94.82.27.165,Colombia,publicidad_pagada,registro_cuenta,2024-03-29,0,21,49,moda,1,336000.0,2026-08-29,2,0,0,16,fiel,0
DM-00150,Alvaro Gomez,alvaro.gomez254@webmail.net,3732762991,SYN-63810700,1988-01-01,38,F,Medellin,El Poblado,Carrera 142 # 74-84,6.19334,-75.59857,3.0,Ingeniero/a,2390000.0,iOS,43.98.234.118,Colombia,referido,registro_cuenta,2026-02-28,0,29,81,deportes,5,568000.0,2026-07-21,2,0,0,10,fiel,0
DM-00948,Alvaro Salazar,alvaro.salazar911@correo.com,3613892792,SYN-80700272,1979-01-01,47,M,Medellin,Laureles,Calle 35 # 46-11,6.21954,-75.61298,3.0,Ingeniero/a,2270000.0,Android,133.58.15.231,Colombia,publicidad_pagada,facturacion,2023-12-26,0,14,26,deportes,1,161000.0,2026-02-23,0,0,0,34,fiel,0
DM-01397,Sandra Vargas,sandra.vargas990@mail.co,3757805043,SYN-22678388,2006-01-01,20,F,Bogota,Usaquen,Carrera 52 # 9-87,4.66472,-74.03985,3.0,Pensionado/a,2170000.0,Android,213.115.21.84,Estados Unidos,referido,facturacion,2024-01-25,1,26,26,mascotas,4,290000.0,2026-03-10,2,0,0,33,fiel,0
